Created from SDDS file: BYBL_Ramp.param
No description	
No description	

Table 1
ElementName	ElementParameter	ParameterValue	ElementType	ElementOccurence	ElementGroup	
DG	ORDER	0	DRIF	1	""	
QD	L	0.2	QUAD	1	""	
QD	K1	-1.35966	QUAD	1	""	
QD	TILT	0	QUAD	1	""	
QD	FFRINGE	0	QUAD	1	""	
QD	DX	0	QUAD	1	""	
QD	DY	0	QUAD	1	""	
QD	DZ	0	QUAD	1	""	
QD	FSE	0	QUAD	1	""	
QD	HKICK	0	QUAD	1	""	
QD	VKICK	0	QUAD	1	""	
QD	HCALIBRATION	1	QUAD	1	""	
QD	VCALIBRATION	1	QUAD	1	""	
QD	HSTEERING	0	QUAD	1	""	
QD	VSTEERING	0	QUAD	1	""	
QD	ORDER	0	QUAD	1	""	
DD	L	0.25	DRIF	1	""	
DD	ORDER	0	DRIF	1	""	
APERTURE	L	0	ECOL	3	""	
APERTURE	X_MAX	0.02	ECOL	3	""	
APERTURE	Y_MAX	0.012	ECOL	3	""	
APERTURE	DX	0	ECOL	3	""	
APERTURE	DY	0	ECOL	3	""	
APERTURE	EXPONENT	2	ECOL	3	""	
BFMAG	L	1.24	CSBEND	1	""	
BFMAG	ANGLE	0.0570255	CSBEND	1	""	
BFMAG	K1	0.82	CSBEND	1	""	
BFMAG	K2	3.5	CSBEND	1	""	
BFMAG	K3	0	CSBEND	1	""	
BFMAG	K4	0	CSBEND	1	""	
BFMAG	K5	0	CSBEND	1	""	
BFMAG	K6	0	CSBEND	1	""	
BFMAG	K7	0	CSBEND	1	""	
BFMAG	K8	0	CSBEND	1	""	
BFMAG	E1	0.028513	CSBEND	1	""	
BFMAG	E2	0.028513	CSBEND	1	""	
BFMAG	TILT	0	CSBEND	1	""	
BFMAG	H1	0	CSBEND	1	""	
BFMAG	H2	0	CSBEND	1	""	
BFMAG	HGAP	0	CSBEND	1	""	
BFMAG	FINT	0.5	CSBEND	1	""	
BFMAG	DX	0	CSBEND	1	""	
BFMAG	DY	0	CSBEND	1	""	
BFMAG	DZ	0	CSBEND	1	""	
BFMAG	FSE	0	CSBEND	1	""	
BFMAG	ETILT	0	CSBEND	1	""	
BFMAG	N_KICKS	25	CSBEND	1	""	
BFMAG	NONLINEAR	1	CSBEND	1	""	
BFMAG	SYNCH_RAD	1	CSBEND	1	""	
BFMAG	EDGE1_EFFECTS	1	CSBEND	1	""	
BFMAG	EDGE2_EFFECTS	1	CSBEND	1	""	
BFMAG	EDGE_ORDER	1	CSBEND	1	""	
BFMAG	INTEGRATION_ORDER	2	CSBEND	1	""	
BFMAG	EDGE1_KICK_LIMIT	-1	CSBEND	1	""	
BFMAG	EDGE2_KICK_LIMIT	-1	CSBEND	1	""	
BFMAG	KICK_LIMIT_SCALING	0	CSBEND	1	""	
BFMAG	USE_BN	0	CSBEND	1	""	
BFMAG	EXPANSION_ORDER	0	CSBEND	1	""	
BFMAG	B1	0	CSBEND	1	""	
BFMAG	B2	0	CSBEND	1	""	
BFMAG	B3	0	CSBEND	1	""	
BFMAG	B4	0	CSBEND	1	""	
BFMAG	B5	0	CSBEND	1	""	
BFMAG	B6	0	CSBEND	1	""	
BFMAG	B7	0	CSBEND	1	""	
BFMAG	B8	0	CSBEND	1	""	
BFMAG	ISR	1	CSBEND	1	""	
BFMAG	ISR1PART	1	CSBEND	1	""	
BFMAG	SQRT_ORDER	0	CSBEND	1	""	
BFMAG	USE_RAD_DIST	0	CSBEND	1	""	
BFMAG	ADD_OPENING_ANGLE	1	CSBEND	1	""	
APERTURE	L	0	ECOL	4	""	
APERTURE	X_MAX	0.02	ECOL	4	""	
APERTURE	Y_MAX	0.012	ECOL	4	""	
APERTURE	DX	0	ECOL	4	""	
APERTURE	DY	0	ECOL	4	""	
APERTURE	EXPONENT	2	ECOL	4	""	
DE	L	0.53	DRIF	1	""	
DE	ORDER	0	DRIF	1	""	
BX	L	1e-006	HKICK	2	""	
BX	KICK	1e-009	HKICK	2	""	
BX	TILT	0	HKICK	2	""	
BX	B2	0	HKICK	2	""	
BX	CALIBRATION	1	HKICK	2	""	
BX	EDGE_EFFECTS	0	HKICK	2	""	
BX	ORDER	0	HKICK	2	""	
BX	STEERING	1	HKICK	2	""	
APERTURE	L	0	ECOL	5	""	
APERTURE	X_MAX	0.02	ECOL	5	""	
APERTURE	Y_MAX	0.012	ECOL	5	""	
APERTURE	DX	0	ECOL	5	""	
APERTURE	DY	0	ECOL	5	""	
APERTURE	EXPONENT	2	ECOL	5	""	
BDMAG	L	1.3	CSBEND	2	""	
BDMAG	ANGLE	0.146452	CSBEND	2	""	
BDMAG	K1	-0.555089	CSBEND	2	""	
BDMAG	K2	-4.1	CSBEND	2	""	
BDMAG	K3	0	CSBEND	2	""	
BDMAG	K4	0	CSBEND	2	""	
BDMAG	K5	0	CSBEND	2	""	
BDMAG	K6	0	CSBEND	2	""	
BDMAG	K7	0	CSBEND	2	""	
BDMAG	K8	0	CSBEND	2	""	
BDMAG	E1	0.073226	CSBEND	2	""	
BDMAG	E2	0.073226	CSBEND	2	""	
BDMAG	TILT	0	CSBEND	2	""	
BDMAG	H1	0	CSBEND	2	""	
BDMAG	H2	0	CSBEND	2	""	
BDMAG	HGAP	0	CSBEND	2	""	
BDMAG	FINT	0.5	CSBEND	2	""	
BDMAG	DX	0	CSBEND	2	""	
BDMAG	DY	0	CSBEND	2	""	
BDMAG	DZ	0	CSBEND	2	""	
BDMAG	FSE	0	CSBEND	2	""	
BDMAG	ETILT	0	CSBEND	2	""	
BDMAG	N_KICKS	25	CSBEND	2	""	
BDMAG	NONLINEAR	1	CSBEND	2	""	
BDMAG	SYNCH_RAD	1	CSBEND	2	""	
BDMAG	EDGE1_EFFECTS	1	CSBEND	2	""	
BDMAG	EDGE2_EFFECTS	1	CSBEND	2	""	
BDMAG	EDGE_ORDER	1	CSBEND	2	""	
BDMAG	INTEGRATION_ORDER	2	CSBEND	2	""	
BDMAG	EDGE1_KICK_LIMIT	-1	CSBEND	2	""	
BDMAG	EDGE2_KICK_LIMIT	-1	CSBEND	2	""	
BDMAG	KICK_LIMIT_SCALING	0	CSBEND	2	""	
BDMAG	USE_BN	0	CSBEND	2	""	
BDMAG	EXPANSION_ORDER	0	CSBEND	2	""	
BDMAG	B1	0	CSBEND	2	""	
BDMAG	B2	0	CSBEND	2	""	
BDMAG	B3	0	CSBEND	2	""	
BDMAG	B4	0	CSBEND	2	""	
BDMAG	B5	0	CSBEND	2	""	
BDMAG	B6	0	CSBEND	2	""	
BDMAG	B7	0	CSBEND	2	""	
BDMAG	B8	0	CSBEND	2	""	
BDMAG	ISR	1	CSBEND	2	""	
BDMAG	ISR1PART	1	CSBEND	2	""	
BDMAG	SQRT_ORDER	0	CSBEND	2	""	
BDMAG	USE_RAD_DIST	0	CSBEND	2	""	
BDMAG	ADD_OPENING_ANGLE	1	CSBEND	2	""	
APERTURE	L	0	ECOL	6	""	
APERTURE	X_MAX	0.02	ECOL	6	""	
APERTURE	Y_MAX	0.012	ECOL	6	""	
APERTURE	DX	0	ECOL	6	""	
APERTURE	DY	0	ECOL	6	""	
APERTURE	EXPONENT	2	ECOL	6	""	
MON	L	1e-006	MONI	2	""	
MON	DX	0	MONI	2	""	
MON	DY	0	MONI	2	""	
MON	WEIGHT	1	MONI	2	""	
MON	TILT	0	MONI	2	""	
MON	XCALIBRATION	1	MONI	2	""	
MON	YCALIBRATION	1	MONI	2	""	
MON	ORDER	0	MONI	2	""	
MON	CO_FITPOINT	0	MONI	2	""	
DSE	L	0.225	DRIF	1	""	
DSE	ORDER	0	DRIF	1	""	
SF	L	0.15	SEXT	1	""	
SF	K2	0	SEXT	1	""	
SF	TILT	0	SEXT	1	""	
SF	DX	0	SEXT	1	""	
SF	DY	0	SEXT	1	""	
SF	DZ	0	SEXT	1	""	
SF	FSE	0	SEXT	1	""	
SF	ORDER	0	SEXT	1	""	
DSE	L	0.225	DRIF	2	""	
DSE	ORDER	0	DRIF	2	""	
APERTURE	L	0	ECOL	7	""	
APERTURE	X_MAX	0.02	ECOL	7	""	
APERTURE	Y_MAX	0.012	ECOL	7	""	
APERTURE	DX	0	ECOL	7	""	
APERTURE	DY	0	ECOL	7	""	
APERTURE	EXPONENT	2	ECOL	7	""	
BFMAG	L	1.24	CSBEND	2	""	
BFMAG	ANGLE	0.0570255	CSBEND	2	""	
BFMAG	K1	0.82	CSBEND	2	""	
BFMAG	K2	3.5	CSBEND	2	""	
BFMAG	K3	0	CSBEND	2	""	
BFMAG	K4	0	CSBEND	2	""	
BFMAG	K5	0	CSBEND	2	""	
BFMAG	K6	0	CSBEND	2	""	
BFMAG	K7	0	CSBEND	2	""	
BFMAG	K8	0	CSBEND	2	""	
BFMAG	E1	0.028513	CSBEND	2	""	
BFMAG	E2	0.028513	CSBEND	2	""	
BFMAG	TILT	0	CSBEND	2	""	
BFMAG	H1	0	CSBEND	2	""	
BFMAG	H2	0	CSBEND	2	""	
BFMAG	HGAP	0	CSBEND	2	""	
BFMAG	FINT	0.5	CSBEND	2	""	
BFMAG	DX	0	CSBEND	2	""	
BFMAG	DY	0	CSBEND	2	""	
BFMAG	DZ	0	CSBEND	2	""	
BFMAG	FSE	0	CSBEND	2	""	
BFMAG	ETILT	0	CSBEND	2	""	
BFMAG	N_KICKS	25	CSBEND	2	""	
BFMAG	NONLINEAR	1	CSBEND	2	""	
BFMAG	SYNCH_RAD	1	CSBEND	2	""	
BFMAG	EDGE1_EFFECTS	1	CSBEND	2	""	
BFMAG	EDGE2_EFFECTS	1	CSBEND	2	""	
BFMAG	EDGE_ORDER	1	CSBEND	2	""	
BFMAG	INTEGRATION_ORDER	2	CSBEND	2	""	
BFMAG	EDGE1_KICK_LIMIT	-1	CSBEND	2	""	
BFMAG	EDGE2_KICK_LIMIT	-1	CSBEND	2	""	
BFMAG	KICK_LIMIT_SCALING	0	CSBEND	2	""	
BFMAG	USE_BN	0	CSBEND	2	""	
BFMAG	EXPANSION_ORDER	0	CSBEND	2	""	
BFMAG	B1	0	CSBEND	2	""	
BFMAG	B2	0	CSBEND	2	""	
BFMAG	B3	0	CSBEND	2	""	
BFMAG	B4	0	CSBEND	2	""	
BFMAG	B5	0	CSBEND	2	""	
BFMAG	B6	0	CSBEND	2	""	
BFMAG	B7	0	CSBEND	2	""	
BFMAG	B8	0	CSBEND	2	""	
BFMAG	ISR	1	CSBEND	2	""	
BFMAG	ISR1PART	1	CSBEND	2	""	
BFMAG	SQRT_ORDER	0	CSBEND	2	""	
BFMAG	USE_RAD_DIST	0	CSBEND	2	""	
BFMAG	ADD_OPENING_ANGLE	1	CSBEND	2	""	
APERTURE	L	0	ECOL	8	""	
APERTURE	X_MAX	0.02	ECOL	8	""	
APERTURE	Y_MAX	0.012	ECOL	8	""	
APERTURE	DX	0	ECOL	8	""	
APERTURE	DY	0	ECOL	8	""	
APERTURE	EXPONENT	2	ECOL	8	""	
D2A	L	0.25	DRIF	1	""	
D2A	ORDER	0	DRIF	1	""	
BX	L	1e-006	HKICK	3	""	
BX	KICK	1e-009	HKICK	3	""	
BX	TILT	0	HKICK	3	""	
BX	B2	0	HKICK	3	""	
BX	CALIBRATION	1	HKICK	3	""	
BX	EDGE_EFFECTS	0	HKICK	3	""	
BX	ORDER	0	HKICK	3	""	
BX	STEERING	1	HKICK	3	""	
D2A	L	0.25	DRIF	2	""	
D2A	ORDER	0	DRIF	2	""	
APERTURE	L	0	ECOL	9	""	
APERTURE	X_MAX	0.02	ECOL	9	""	
APERTURE	Y_MAX	0.012	ECOL	9	""	
APERTURE	DX	0	ECOL	9	""	
APERTURE	DY	0	ECOL	9	""	
APERTURE	EXPONENT	2	ECOL	9	""	
BDMAG	L	1.3	CSBEND	3	""	
BDMAG	ANGLE	0.146452	CSBEND	3	""	
BDMAG	K1	-0.555089	CSBEND	3	""	
BDMAG	K2	-4.1	CSBEND	3	""	
BDMAG	K3	0	CSBEND	3	""	
BDMAG	K4	0	CSBEND	3	""	
BDMAG	K5	0	CSBEND	3	""	
BDMAG	K6	0	CSBEND	3	""	
BDMAG	K7	0	CSBEND	3	""	
BDMAG	K8	0	CSBEND	3	""	
BDMAG	E1	0.073226	CSBEND	3	""	
BDMAG	E2	0.073226	CSBEND	3	""	
BDMAG	TILT	0	CSBEND	3	""	
BDMAG	H1	0	CSBEND	3	""	
BDMAG	H2	0	CSBEND	3	""	
BDMAG	HGAP	0	CSBEND	3	""	
BDMAG	FINT	0.5	CSBEND	3	""	
BDMAG	DX	0	CSBEND	3	""	
BDMAG	DY	0	CSBEND	3	""	
BDMAG	DZ	0	CSBEND	3	""	
BDMAG	FSE	0	CSBEND	3	""	
BDMAG	ETILT	0	CSBEND	3	""	
BDMAG	N_KICKS	25	CSBEND	3	""	
BDMAG	NONLINEAR	1	CSBEND	3	""	
BDMAG	SYNCH_RAD	1	CSBEND	3	""	
BDMAG	EDGE1_EFFECTS	1	CSBEND	3	""	
BDMAG	EDGE2_EFFECTS	1	CSBEND	3	""	
BDMAG	EDGE_ORDER	1	CSBEND	3	""	
BDMAG	INTEGRATION_ORDER	2	CSBEND	3	""	
BDMAG	EDGE1_KICK_LIMIT	-1	CSBEND	3	""	
BDMAG	EDGE2_KICK_LIMIT	-1	CSBEND	3	""	
BDMAG	KICK_LIMIT_SCALING	0	CSBEND	3	""	
BDMAG	USE_BN	0	CSBEND	3	""	
BDMAG	EXPANSION_ORDER	0	CSBEND	3	""	
BDMAG	B1	0	CSBEND	3	""	
BDMAG	B2	0	CSBEND	3	""	
BDMAG	B3	0	CSBEND	3	""	
BDMAG	B4	0	CSBEND	3	""	
BDMAG	B5	0	CSBEND	3	""	
BDMAG	B6	0	CSBEND	3	""	
BDMAG	B7	0	CSBEND	3	""	
BDMAG	B8	0	CSBEND	3	""	
BDMAG	ISR	1	CSBEND	3	""	
BDMAG	ISR1PART	1	CSBEND	3	""	
BDMAG	SQRT_ORDER	0	CSBEND	3	""	
BDMAG	USE_RAD_DIST	0	CSBEND	3	""	
BDMAG	ADD_OPENING_ANGLE	1	CSBEND	3	""	
APERTURE	L	0	ECOL	10	""	
APERTURE	X_MAX	0.02	ECOL	10	""	
APERTURE	Y_MAX	0.012	ECOL	10	""	
APERTURE	DX	0	ECOL	10	""	
APERTURE	DY	0	ECOL	10	""	
APERTURE	EXPONENT	2	ECOL	10	""	
MON	L	1e-006	MONI	3	""	
MON	DX	0	MONI	3	""	
MON	DY	0	MONI	3	""	
MON	WEIGHT	1	MONI	3	""	
MON	TILT	0	MONI	3	""	
MON	XCALIBRATION	1	MONI	3	""	
MON	YCALIBRATION	1	MONI	3	""	
MON	ORDER	0	MONI	3	""	
MON	CO_FITPOINT	0	MONI	3	""	
DSE	L	0.225	DRIF	3	""	
DSE	ORDER	0	DRIF	3	""	
SD	L	0.15	SEXT	1	""	
SD	K2	-0	SEXT	1	""	
SD	TILT	0	SEXT	1	""	
SD	DX	0	SEXT	1	""	
SD	DY	0	SEXT	1	""	
SD	DZ	0	SEXT	1	""	
SD	FSE	0	SEXT	1	""	
SD	ORDER	0	SEXT	1	""	
DSE	L	0.225	DRIF	4	""	
DSE	ORDER	0	DRIF	4	""	
APERTURE	L	0	ECOL	11	""	
APERTURE	X_MAX	0.02	ECOL	11	""	
APERTURE	Y_MAX	0.012	ECOL	11	""	
APERTURE	DX	0	ECOL	11	""	
APERTURE	DY	0	ECOL	11	""	
APERTURE	EXPONENT	2	ECOL	11	""	
BFMAG	L	1.24	CSBEND	3	""	
BFMAG	ANGLE	0.0570255	CSBEND	3	""	
BFMAG	K1	0.82	CSBEND	3	""	
BFMAG	K2	3.5	CSBEND	3	""	
BFMAG	K3	0	CSBEND	3	""	
BFMAG	K4	0	CSBEND	3	""	
BFMAG	K5	0	CSBEND	3	""	
BFMAG	K6	0	CSBEND	3	""	
BFMAG	K7	0	CSBEND	3	""	
BFMAG	K8	0	CSBEND	3	""	
BFMAG	E1	0.028513	CSBEND	3	""	
BFMAG	E2	0.028513	CSBEND	3	""	
BFMAG	TILT	0	CSBEND	3	""	
BFMAG	H1	0	CSBEND	3	""	
BFMAG	H2	0	CSBEND	3	""	
BFMAG	HGAP	0	CSBEND	3	""	
BFMAG	FINT	0.5	CSBEND	3	""	
BFMAG	DX	0	CSBEND	3	""	
BFMAG	DY	0	CSBEND	3	""	
BFMAG	DZ	0	CSBEND	3	""	
BFMAG	FSE	0	CSBEND	3	""	
BFMAG	ETILT	0	CSBEND	3	""	
BFMAG	N_KICKS	25	CSBEND	3	""	
BFMAG	NONLINEAR	1	CSBEND	3	""	
BFMAG	SYNCH_RAD	1	CSBEND	3	""	
BFMAG	EDGE1_EFFECTS	1	CSBEND	3	""	
BFMAG	EDGE2_EFFECTS	1	CSBEND	3	""	
BFMAG	EDGE_ORDER	1	CSBEND	3	""	
BFMAG	INTEGRATION_ORDER	2	CSBEND	3	""	
BFMAG	EDGE1_KICK_LIMIT	-1	CSBEND	3	""	
BFMAG	EDGE2_KICK_LIMIT	-1	CSBEND	3	""	
BFMAG	KICK_LIMIT_SCALING	0	CSBEND	3	""	
BFMAG	USE_BN	0	CSBEND	3	""	
BFMAG	EXPANSION_ORDER	0	CSBEND	3	""	
BFMAG	B1	0	CSBEND	3	""	
BFMAG	B2	0	CSBEND	3	""	
BFMAG	B3	0	CSBEND	3	""	
BFMAG	B4	0	CSBEND	3	""	
BFMAG	B5	0	CSBEND	3	""	
BFMAG	B6	0	CSBEND	3	""	
BFMAG	B7	0	CSBEND	3	""	
BFMAG	B8	0	CSBEND	3	""	
BFMAG	ISR	1	CSBEND	3	""	
BFMAG	ISR1PART	1	CSBEND	3	""	
BFMAG	SQRT_ORDER	0	CSBEND	3	""	
BFMAG	USE_RAD_DIST	0	CSBEND	3	""	
BFMAG	ADD_OPENING_ANGLE	1	CSBEND	3	""	
APERTURE	L	0	ECOL	12	""	
APERTURE	X_MAX	0.02	ECOL	12	""	
APERTURE	Y_MAX	0.012	ECOL	12	""	
APERTURE	DX	0	ECOL	12	""	
APERTURE	DY	0	ECOL	12	""	
APERTURE	EXPONENT	2	ECOL	12	""	
D2A	L	0.25	DRIF	3	""	
D2A	ORDER	0	DRIF	3	""	
BY	L	1e-006	VKICK	2	""	
BY	KICK	1e-009	VKICK	2	""	
BY	TILT	0	VKICK	2	""	
BY	B2	0	VKICK	2	""	
BY	CALIBRATION	1	VKICK	2	""	
BY	EDGE_EFFECTS	0	VKICK	2	""	
BY	ORDER	0	VKICK	2	""	
BY	STEERING	1	VKICK	2	""	
D2A	L	0.25	DRIF	4	""	
D2A	ORDER	0	DRIF	4	""	
BX	L	1e-006	HKICK	4	""	
BX	KICK	1e-009	HKICK	4	""	
BX	TILT	0	HKICK	4	""	
BX	B2	0	HKICK	4	""	
BX	CALIBRATION	1	HKICK	4	""	
BX	EDGE_EFFECTS	0	HKICK	4	""	
BX	ORDER	0	HKICK	4	""	
BX	STEERING	1	HKICK	4	""	
APERTURE	L	0	ECOL	13	""	
APERTURE	X_MAX	0.02	ECOL	13	""	
APERTURE	Y_MAX	0.012	ECOL	13	""	
APERTURE	DX	0	ECOL	13	""	
APERTURE	DY	0	ECOL	13	""	
APERTURE	EXPONENT	2	ECOL	13	""	
BDMAG	L	1.3	CSBEND	4	""	
BDMAG	ANGLE	0.146452	CSBEND	4	""	
BDMAG	K1	-0.555089	CSBEND	4	""	
BDMAG	K2	-4.1	CSBEND	4	""	
BDMAG	K3	0	CSBEND	4	""	
BDMAG	K4	0	CSBEND	4	""	
BDMAG	K5	0	CSBEND	4	""	
BDMAG	K6	0	CSBEND	4	""	
BDMAG	K7	0	CSBEND	4	""	
BDMAG	K8	0	CSBEND	4	""	
BDMAG	E1	0.073226	CSBEND	4	""	
BDMAG	E2	0.073226	CSBEND	4	""	
BDMAG	TILT	0	CSBEND	4	""	
BDMAG	H1	0	CSBEND	4	""	
BDMAG	H2	0	CSBEND	4	""	
BDMAG	HGAP	0	CSBEND	4	""	
BDMAG	FINT	0.5	CSBEND	4	""	
BDMAG	DX	0	CSBEND	4	""	
BDMAG	DY	0	CSBEND	4	""	
BDMAG	DZ	0	CSBEND	4	""	
BDMAG	FSE	0	CSBEND	4	""	
BDMAG	ETILT	0	CSBEND	4	""	
BDMAG	N_KICKS	25	CSBEND	4	""	
BDMAG	NONLINEAR	1	CSBEND	4	""	
BDMAG	SYNCH_RAD	1	CSBEND	4	""	
BDMAG	EDGE1_EFFECTS	1	CSBEND	4	""	
BDMAG	EDGE2_EFFECTS	1	CSBEND	4	""	
BDMAG	EDGE_ORDER	1	CSBEND	4	""	
BDMAG	INTEGRATION_ORDER	2	CSBEND	4	""	
BDMAG	EDGE1_KICK_LIMIT	-1	CSBEND	4	""	
BDMAG	EDGE2_KICK_LIMIT	-1	CSBEND	4	""	
BDMAG	KICK_LIMIT_SCALING	0	CSBEND	4	""	
BDMAG	USE_BN	0	CSBEND	4	""	
BDMAG	EXPANSION_ORDER	0	CSBEND	4	""	
BDMAG	B1	0	CSBEND	4	""	
BDMAG	B2	0	CSBEND	4	""	
BDMAG	B3	0	CSBEND	4	""	
BDMAG	B4	0	CSBEND	4	""	
BDMAG	B5	0	CSBEND	4	""	
BDMAG	B6	0	CSBEND	4	""	
BDMAG	B7	0	CSBEND	4	""	
BDMAG	B8	0	CSBEND	4	""	
BDMAG	ISR	1	CSBEND	4	""	
BDMAG	ISR1PART	1	CSBEND	4	""	
BDMAG	SQRT_ORDER	0	CSBEND	4	""	
BDMAG	USE_RAD_DIST	0	CSBEND	4	""	
BDMAG	ADD_OPENING_ANGLE	1	CSBEND	4	""	
APERTURE	L	0	ECOL	14	""	
APERTURE	X_MAX	0.02	ECOL	14	""	
APERTURE	Y_MAX	0.012	ECOL	14	""	
APERTURE	DX	0	ECOL	14	""	
APERTURE	DY	0	ECOL	14	""	
APERTURE	EXPONENT	2	ECOL	14	""	
D1	L	0.51	DRIF	1	""	
D1	ORDER	0	DRIF	1	""	
